SERVICE_NUMBER,ROUTE,DEPARTURE,ARRIVAL,CAPTURE,DAY_X,STATUS,CABIN,CAPACITY,LID,CURRENT_BUCKET,CURRENT_BUCKET_PRICE,BOOKINGS,REVENUE_INCL_TAX,REVENUE_EXCL_TAX,MAXLEG_LF,MAXLEG_BOOKINGS,OPTIM_STATUS
AW7647,OSL - CDG,2023-10-03 16:40:00,2023-10-03 20:05:00,2023-10-05,1,OPEN,2,189,194,N,39.0,194,13490.94,9385.92,1.0,194,DEACTIVATED
AW7648,CDG - OSL,2023-10-03 16:45:00,2023-10-03 18:25:00,2023-10-04,1,OPEN,2,189,193,R,67.0,138,8279.86,3942.52,0.72,138,DEACTIVATED
AW3005,ATH - CDG,2023-10-03 17:25:00,2023-10-03 21:55:00,2023-10-05,1,OPEN,2,189,192,Q,166.0,150,15600.0,12859.89,0.78,150,DEACTIVATED
AW7909,BER - CDG,2023-10-03 17:40:00,2023-10-03 20:35:00,2023-10-05,1,OPEN,2,189,193,R,60.0,62,3425.0,2643.12,0.32,62,DEACTIVATED
AW4638,CDG - VIE,2023-10-03 17:45:00,2023-10-03 19:55:00,2023-10-04,1,OPEN,2,178,180,X,85.0,180,14862.0,9216.68,1.0,180,DEACTIVATED
AW7649,OSL - CDG,2023-10-03 19:05:00,2023-10-03 22:35:00,2023-10-05,1,OPEN,2,189,194,N,39.0,195,14831.46,10752.33,1.01,195,DEACTIVATED
AW4639,VIE - CDG,2023-10-03 20:40:00,2023-10-03 22:40:00,2023-10-04,1,OPEN,2,178,180,N,39.0,180,10826.0,7517.6,1.0,180,DEACTIVATED
AW3952,CDG - ZAG,2023-10-03 20:40:00,2023-10-03 22:40:00,2023-10-04,1,OPEN,2,189,193,M,127.0,189,13949.86,8054.09,0.98,189,DEACTIVATED
AW7662,CDG - OSL,2023-10-03 21:25:00,2023-10-03 23:05:00,2023-10-04,1,OPEN,2,189,193,Q,130.0,178,10701.0,5116.46,0.92,178,DEACTIVATED
AW4780,CDG - VIE,2023-10-03 21:40:00,2023-10-03 23:50:00,2023-10-04,1,OPEN,2,189,193,R,72.0,193,13101.43,7037.96,1.0,193,DEACTIVATED
AW3121,ATH - CDG,2023-10-04 05:55:00,2023-10-04 10:25:00,2023-10-06,1,OPEN,2,189,193,L,112.0,174,15044.0,11844.14,0.9,174,DEACTIVATED
AW4781,VIE - CDG,2023-10-04 06:15:00,2023-10-04 08:15:00,2023-10-05,1,OPEN,2,189,193,M,188.0,190,12114.0,8621.8,0.98,190,DEACTIVATED
AW4630,CDG - VIE,2023-10-04 06:20:00,2023-10-04 08:25:00,2023-10-05,1,OPEN,2,189,194,Q,148.0,193,11042.0,4976.01,0.99,193,DEACTIVATED
AW7663,OSL - CDG,2023-10-04 06:30:00,2023-10-04 10:00:00,2023-10-06,1,OPEN,2,189,193,B,234.0,192,17398.08,13344.85,0.99,192,DEACTIVATED
AW3953,ZAG - CDG,2023-10-04 06:30:00,2023-10-04 08:40:00,2023-10-05,1,OPEN,2,189,194,K,76.0,181,9292.66,3725.86,0.93,181,DEACTIVATED
AW7640,CDG - OSL,2023-10-04 07:15:00,2023-10-04 08:55:00,2023-10-05,1,OPEN,2,189,0,N,46.0,108,6677.0,3282.56,,108,DEACTIVATED
AW3550,CDG - HEL,2023-10-04 08:25:00,2023-10-04 12:50:00,2023-10-05,1,OPEN,2,189,191,T,101.0,164,15021.0,9946.9,0.86,164,DEACTIVATED
AW4631,VIE - CDG,2023-10-04 09:10:00,2023-10-04 11:10:00,2023-10-05,1,OPEN,2,189,193,F,232.0,190,14242.14,10749.94,0.98,190,DEACTIVATED
AW7658,CDG - OSL,2023-10-04 09:20:00,2023-10-04 11:00:00,2023-10-05,1,OPEN,2,189,193,T,59.0,132,7168.0,3024.28,0.68,132,DEACTIVATED
AW7641,OSL - CDG,2023-10-04 09:35:00,2023-10-04 13:05:00,2023-10-06,1,CANCELLED,2,189,0,,,193,18017.46,13997.0,,193,UNAVAILABLE
AW3009,ATH - CDG,2023-10-04 09:35:00,2023-10-04 14:05:00,2023-10-06,1,OPEN,2,189,193,Q,166.0,175,20067.0,16848.75,0.91,175,DEACTIVATED
AW4632,CDG - VIE,2023-10-04 10:15:00,2023-10-04 12:25:00,2023-10-05,1,OPEN,2,189,194,B,247.0,192,13451.29,7428.81,0.99,192,DEACTIVATED
AW7659,OSL - CDG,2023-10-04 11:45:00,2023-10-04 15:15:00,2023-10-06,1,OPEN,2,189,193,R,63.0,193,16458.91,12384.51,1.0,193,DEACTIVATED
AW7644,CDG - OSL,2023-10-04 11:50:00,2023-10-04 13:30:00,2023-10-05,1,OPEN,2,189,193,R,67.0,137,8410.43,4140.99,0.71,137,DEACTIVATED
AW4633,VIE - CDG,2023-10-04 13:15:00,2023-10-04 15:15:00,2023-10-05,1,OPEN,2,189,193,T,58.0,193,14742.02,11213.06,1.0,193,DEACTIVATED
AW3551,HEL - CDG,2023-10-04 13:35:00,2023-10-04 16:15:00,2023-10-05,1,OPEN,2,189,190,V,158.0,179,26382.35,22907.4,0.94,179,DEACTIVATED
AW3288,CDG - TLL,2023-10-04 13:45:00,2023-10-04 18:20:00,2023-10-05,1,OPEN,2,189,195,Q,226.0,189,25331.86,14637.83,0.97,189,DEACTIVATED
AW7645,OSL - CDG,2023-10-04 14:10:00,2023-10-04 17:40:00,2023-10-06,1,OPEN,2,189,193,S,284.0,191,16792.74,12709.61,0.99,191,DEACTIVATED
AW3558,CDG - HEL,2023-10-04 14:15:00,2023-10-04 18:40:00,2023-10-05,1,OPEN,2,189,191,G,94.0,93,8560.86,5648.39,0.49,93,DEACTIVATED
AW3910,CDG - ZAG,2023-10-04 15:55:00,2023-10-04 17:55:00,2023-10-05,1,OPEN,2,189,193,Q,98.0,162,12492.72,7415.06,0.84,162,DEACTIVATED
AW7648,CDG - OSL,2023-10-04 16:30:00,2023-10-04 18:10:00,2023-10-05,1,OPEN,2,189,193,R,67.0,139,7902.86,3570.52,0.72,139,DEACTIVATED
AW7646,CDG - OSL,2023-10-04 16:45:00,2023-10-04 18:25:00,2023-10-05,1,OPEN,2,189,193,R,67.0,137,7536.0,3244.09,0.71,137,DEACTIVATED
AW7908,CDG - BER,2023-10-04 17:25:00,2023-10-04 18:20:00,2023-10-05,1,OPEN,2,189,195,V,111.0,106,5782.0,2354.58,0.54,106,DEACTIVATED
AW3003,ATH - CDG,2023-10-04 18:20:00,2023-10-04 22:50:00,2023-10-06,1,OPEN,2,189,193,K,128.0,141,13840.39,11247.4,0.73,141,DEACTIVATED
AW3911,ZAG - CDG,2023-10-04 18:45:00,2023-10-04 20:55:00,2023-10-05,1,OPEN,2,189,194,Q,98.0,164,11405.0,6371.24,0.85,164,DEACTIVATED
AW7649,OSL - CDG,2023-10-04 18:45:00,2023-10-04 22:15:00,2023-10-06,1,OPEN,2,189,193,B,234.0,190,18324.31,14272.18,0.98,190,DEACTIVATED
AW7909,BER - CDG,2023-10-04 19:00:00,2023-10-04 21:55:00,2023-10-06,1,OPEN,2,189,195,V,105.0,113,8670.0,7359.71,0.58,113,DEACTIVATED
AW7647,OSL - CDG,2023-10-04 19:10:00,2023-10-04 22:40:00,2023-10-06,1,OPEN,2,189,193,B,234.0,184,19948.78,16057.39,0.95,184,DEACTIVATED
AW3289,TLL - CDG,2023-10-04 19:15:00,2023-10-04 22:00:00,2023-10-05,1,OPEN,2,189,194,Q,226.0,188,23729.0,19405.0,0.97,188,DEACTIVATED
AW3559,HEL - CDG,2023-10-04 19:25:00,2023-10-04 22:05:00,2023-10-05,1,OPEN,2,189,190,B,277.0,188,26223.25,22579.25,0.99,188,DEACTIVATED
AW3952,CDG - ZAG,2023-10-04 20:40:00,2023-10-04 22:40:00,2023-10-05,1,OPEN,2,189,193,I,143.0,189,10587.0,4655.25,0.98,189,DEACTIVATED
AW4780,CDG - VIE,2023-10-04 21:20:00,2023-10-04 23:30:00,2023-10-05,1,OPEN,2,189,194,F,226.0,177,13106.0,7566.23,0.91,177,DEACTIVATED
AW7662,CDG - OSL,2023-10-04 21:30:00,2023-10-04 23:10:00,2023-10-05,1,OPEN,2,189,193,X,77.0,170,10596.0,5315.67,0.88,170,DEACTIVATED
AW4781,VIE - CDG,2023-10-05 06:00:00,2023-10-05 08:00:00,2023-10-06,1,OPEN,2,189,193,J,331.0,191,20391.0,16880.42,0.99,191,DEACTIVATED
AW7663,OSL - CDG,2023-10-05 06:30:00,2023-10-05 10:00:00,2023-10-07,1,OPEN,2,189,194,D,259.0,190,23137.56,19151.84,0.98,190,DEACTIVATED
AW3953,ZAG - CDG,2023-10-05 06:30:00,2023-10-05 08:40:00,2023-10-06,1,OPEN,2,189,193,V,85.0,183,9701.0,4079.81,0.95,183,DEACTIVATED
AW7640,CDG - OSL,2023-10-05 07:15:00,2023-10-05 08:55:00,2023-10-06,1,OPEN,2,189,192,K,100.0,180,14532.36,8954.34,0.94,180,DEACTIVATED
AW3550,CDG - HEL,2023-10-05 08:05:00,2023-10-05 12:30:00,2023-10-06,1,OPEN,2,189,190,A,77.0,191,21706.15,15792.12,1.01,191,DEACTIVATED
AW7641,OSL - CDG,2023-10-05 09:35:00,2023-10-05 13:05:00,2023-10-07,1,OPEN,2,189,194,B,234.0,189,24397.49,20403.14,0.97,189,DEACTIVATED
AW4632,CDG - VIE,2023-10-05 09:45:00,2023-10-05 11:55:00,2023-10-06,1,OPEN,2,189,193,M,184.0,187,16332.15,10454.74,0.97,187,DEACTIVATED
AW3288,CDG - TLL,2023-10-05 11:40:00,2023-10-05 16:15:00,2023-10-06,1,OPEN,2,189,195,X,138.0,174,22279.12,12473.14,0.89,174,DEACTIVATED
AW7644,CDG - OSL,2023-10-05 11:50:00,2023-10-05 13:30:00,2023-10-06,1,OPEN,2,189,192,V,114.0,184,13780.01,8034.36,0.96,184,DEACTIVATED
AW7658,CDG - OSL,2023-10-05 12:45:00,2023-10-05 14:25:00,2023-10-06,1,OPEN,2,189,192,V,114.0,183,13223.86,7475.95,0.95,183,DEACTIVATED
AW4633,VIE - CDG,2023-10-05 12:45:00,2023-10-05 14:45:00,2023-10-06,1,OPEN,2,189,193,Q,150.0,193,24360.14,20812.8,1.0,193,DEACTIVATED
AW3551,HEL - CDG,2023-10-05 13:15:00,2023-10-05 15:55:00,2023-10-06,1,OPEN,2,189,190,Y,417.0,186,25872.15,22258.45,0.98,186,DEACTIVATED
AW7645,OSL - CDG,2023-10-05 14:15:00,2023-10-05 17:45:00,2023-10-07,1,OPEN,2,189,194,D,259.0,193,17894.66,13779.79,0.99,193,DEACTIVATED
AW3001,ATH - CDG,2023-10-05 14:40:00,2023-10-05 19:10:00,2023-10-07,1,OPEN,2,189,194,Q,166.0,148,15299.95,12615.01,0.76,148,DEACTIVATED
AW7928,CDG - CPH,2023-10-05 14:50:00,2023-10-05 15:45:00,2023-10-06,1,OPEN,2,189,193,G,50.0,113,6834.43,3257.12,0.59,113,DEACTIVATED
AW7659,OSL - CDG,2023-10-05 15:10:00,2023-10-05 18:40:00,2023-10-07,1,OPEN,2,189,194,B,234.0,192,17072.09,13030.51,0.99,192,DEACTIVATED
AW3916,CDG - ZAG,2023-10-05 15:30:00,2023-10-05 17:30:00,2023-10-06,1,OPEN,2,189,189,Q,98.0,161,12834.86,7823.78,0.85,161,DEACTIVATED
AW7929,CPH - CDG,2023-10-05 16:30:00,2023-10-05 19:30:00,2023-10-07,1,OPEN,2,189,192,M,175.0,154,18426.26,12684.63,0.8,154,DEACTIVATED
AW7646,CDG - OSL,2023-10-05 16:50:00,2023-10-05 18:30:00,2023-10-06,1,OPEN,2,189,192,H,145.0,189,15442.86,9517.95,0.98,189,DEACTIVATED
AW3289,TLL - CDG,2023-10-05 17:10:00,2023-10-05 19:55:00,2023-10-06,1,OPEN,2,189,195,H,251.0,193,22322.0,17883.0,0.99,193,DEACTIVATED
AW4638,CDG - VIE,2023-10-05 17:45:00,2023-10-05 19:55:00,2023-10-06,1,OPEN,2,189,193,F,226.0,182,17045.2,11341.7,0.94,182,DEACTIVATED
AW3917,ZAG - CDG,2023-10-05 18:20:00,2023-10-05 20:30:00,2023-10-06,1,OPEN,2,189,193,I,143.0,189,14138.51,8332.94,0.98,189,DEACTIVATED
AW7908,CDG - BER,2023-10-05 18:20:00,2023-10-05 19:15:00,2023-10-06,1,OPEN,2,189,194,Z,337.0,160,8017.0,2828.2,0.82,160,DEACTIVATED
AW7647,OSL - CDG,2023-10-05 19:05:00,2023-10-05 22:35:00,2023-10-07,1,OPEN,2,189,194,F,211.0,192,15217.82,11236.46,0.99,192,DEACTIVATED
AW7909,BER - CDG,2023-10-05 19:55:00,2023-10-05 22:50:00,2023-10-07,1,OPEN,2,189,193,V,239.0,106,19703.0,18371.95,0.55,106,DEACTIVATED
