,SERVICE_NUMBER,ROUTE,DEPARTURE,ARRIVAL,CAPTURE,DAY_X,STATUS,CABIN,CAPACITY,LID,CURRENT_BUCKET,CURRENT_BUCKET_PRICE,BOOKINGS,REVENUE_INCL_TAX,REVENUE_EXCL_TAX,MAXLEG_LF,MAXLEG_BOOKINGS,OPTIM_STATUS
12369,AW4638,CDG - VIE,2024-11-25 17:25:00,2024-11-25 19:35:00,2024-11-25,0,OPEN,2,189,188,D,248.0,183,16584.78,10657.41,0.97,183,ACTIVATED
16105,AW4637,VIE - CDG,2024-11-25 17:40:00,2024-11-25 19:50:00,2024-11-25,0,OPEN,2,189,191,Q,128.0,191,13603.4,10012.6,1.0,191,ACTIVATED
16653,AW7651,OSL - CDG,2024-11-25 17:55:00,2024-11-25 21:30:00,2024-11-25,-1,OPEN,2,186,192,M,188.0,192,16213.0,11871.88,1.0,192,ACTIVATED
12900,AW7649,OSL - CDG,2024-11-25 18:40:00,2024-11-25 22:15:00,2024-11-25,-1,OPEN,2,189,193,F,234.0,185,14002.61,9819.76,0.96,185,ACTIVATED
12142,AW3289,TLL - CDG,2024-11-25 19:45:00,2024-11-25 21:45:00,2024-11-25,0,OPEN,2,186,191,Q,197.0,182,19330.0,15144.0,0.95,182,DEACTIVATED
12370,AW4639,VIE - CDG,2024-11-25 20:20:00,2024-11-25 22:30:00,2024-11-25,0,OPEN,2,189,188,M,159.0,183,11725.8,8285.4,0.97,183,ACTIVATED
2,AW3280,CDG - TLL,2024-11-26 07:15:00,2024-11-26 12:55:00,2024-11-25,-1,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
15576,AW7640,CDG - OSL,2024-11-26 07:25:00,2024-11-26 09:05:00,2024-11-25,-1,OPEN,2,186,189,Q,123.0,190,9935.78,3781.68,1.01,190,ACTIVATED
11951,AW7641,OSL - CDG,2024-11-26 09:45:00,2024-11-26 13:20:00,2024-11-25,-2,OPEN,2,186,187,B,256.0,181,11505.22,7412.81,0.97,181,ACTIVATED
12902,AW7644,CDG - OSL,2024-11-26 11:35:00,2024-11-26 13:15:00,2024-11-25,-1,OPEN,2,189,190,L,84.0,185,9687.17,3695.02,0.97,185,ACTIVATED
5,AW4634,CDG - VIE,2024-11-26 11:55:00,2024-11-26 14:05:00,2024-11-25,-1,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
4,AW7646,CDG - OSL,2024-11-26 13:00:00,2024-11-26 14:40:00,2024-11-25,-1,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
11433,AW7645,OSL - CDG,2024-11-26 13:55:00,2024-11-26 17:30:00,2024-11-25,-2,OPEN,2,189,187,M,188.0,178,12431.0,8406.42,0.95,178,ACTIVATED
3,AW3281,TLL - CDG,2024-11-26 13:55:00,2024-11-26 15:55:00,2024-11-25,-1,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
8724,AW3288,CDG - TLL,2024-11-26 14:05:00,2024-11-26 19:45:00,2024-11-25,-1,OPEN,2,189,192,R,108.0,139,13375.32,5206.29,0.72,139,SCHEDULED
6,AW4635,VIE - CDG,2024-11-26 14:50:00,2024-11-26 17:00:00,2024-11-25,-1,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
992,AW7647,OSL - CDG,2024-11-26 15:20:00,2024-11-26 18:55:00,2024-11-25,-2,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
12140,AW7648,CDG - OSL,2024-11-26 16:20:00,2024-11-26 18:00:00,2024-11-25,-1,OPEN,2,186,190,V,109.0,182,10428.17,4533.19,0.96,182,ACTIVATED
15577,AW4636,CDG - VIE,2024-11-26 17:25:00,2024-11-26 19:35:00,2024-11-25,-1,OPEN,2,189,192,M,166.0,190,13024.39,6870.29,0.99,190,ACTIVATED
10772,AW7649,OSL - CDG,2024-11-26 18:40:00,2024-11-26 22:15:00,2024-11-25,-2,OPEN,2,186,187,B,256.0,173,10175.0,6263.47,0.93,173,ACTIVATED
14508,AW4637,VIE - CDG,2024-11-26 20:20:00,2024-11-26 22:30:00,2024-11-25,-1,OPEN,2,189,193,K,99.0,189,10357.8,6804.6,0.98,189,ACTIVATED
12901,AW3289,TLL - CDG,2024-11-26 20:40:00,2024-11-26 22:40:00,2024-11-25,-1,OPEN,2,189,190,H,217.0,185,21356.0,17101.0,0.97,185,SCHEDULED
7816,AW4634,CDG - VIE,2024-11-27 07:00:00,2024-11-27 09:05:00,2024-11-25,-2,OPEN,2,186,191,G,52.0,110,6141.39,2578.49,0.58,110,ACTIVATED
9283,AW3280,CDG - TLL,2024-11-27 07:20:00,2024-11-27 13:00:00,2024-11-25,-2,OPEN,2,186,192,T,95.0,152,14364.67,5431.63,0.79,152,SCHEDULED
993,AW7640,CDG - OSL,2024-11-27 07:25:00,2024-11-27 09:05:00,2024-11-25,-2,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
995,AW4630,CDG - VIE,2024-11-27 08:15:00,2024-11-27 10:25:00,2024-11-25,-2,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2557,AW7641,OSL - CDG,2024-11-27 09:45:00,2024-11-27 13:20:00,2024-11-25,-3,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
12903,AW4635,VIE - CDG,2024-11-27 09:50:00,2024-11-27 12:00:00,2024-11-25,-2,OPEN,2,186,192,V,113.0,185,10593.0,7115.0,0.96,185,ACTIVATED
996,AW4631,VIE - CDG,2024-11-27 11:10:00,2024-11-27 13:20:00,2024-11-25,-2,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
11575,AW7644,CDG - OSL,2024-11-27 11:30:00,2024-11-27 13:10:00,2024-11-25,-2,OPEN,2,186,189,V,109.0,179,10309.78,4511.97,0.95,179,ACTIVATED
8274,AW3288,CDG - TLL,2024-11-27 12:30:00,2024-11-27 18:10:00,2024-11-25,-2,OPEN,2,186,192,T,95.0,126,11563.57,4158.55,0.66,126,SCHEDULED
994,AW7646,CDG - OSL,2024-11-27 12:50:00,2024-11-27 14:30:00,2024-11-25,-2,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
11434,AW7645,OSL - CDG,2024-11-27 13:50:00,2024-11-27 17:25:00,2024-11-25,-3,OPEN,2,186,189,B,256.0,178,11334.0,7309.42,0.94,178,ACTIVATED
11949,AW3281,TLL - CDG,2024-11-27 13:55:00,2024-11-27 15:55:00,2024-11-25,-2,OPEN,2,186,190,V,176.0,181,16336.0,12173.0,0.95,181,SCHEDULED
11950,AW4638,CDG - VIE,2024-11-27 13:55:00,2024-11-27 16:05:00,2024-11-25,-2,OPEN,2,189,192,H,149.0,181,12490.39,6627.8,0.94,181,ACTIVATED
2558,AW7647,OSL - CDG,2024-11-27 15:10:00,2024-11-27 18:45:00,2024-11-25,-3,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
12610,AW7648,CDG - OSL,2024-11-27 16:20:00,2024-11-27 18:00:00,2024-11-25,-2,OPEN,2,189,189,V,109.0,184,10120.0,4160.24,0.97,184,ACTIVATED
12611,AW4639,VIE - CDG,2024-11-27 16:50:00,2024-11-27 19:00:00,2024-11-25,-2,OPEN,2,189,192,M,159.0,184,11660.8,8201.6,0.96,184,ACTIVATED
10558,AW7649,OSL - CDG,2024-11-27 18:40:00,2024-11-27 22:15:00,2024-11-25,-3,OPEN,2,189,188,Q,150.0,171,10698.0,6831.69,0.91,171,ACTIVATED
9693,AW3289,TLL - CDG,2024-11-27 19:05:00,2024-11-27 21:05:00,2024-11-25,-2,OPEN,2,186,190,V,176.0,159,15964.0,12307.0,0.84,159,SCHEDULED
2562,AW4630,CDG - VIE,2024-11-28 06:05:00,2024-11-28 08:15:00,2024-11-25,-3,CANCELLED,2,186,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2559,AW3280,CDG - TLL,2024-11-28 07:00:00,2024-11-28 12:40:00,2024-11-25,-3,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10001,AW7640,CDG - OSL,2024-11-28 07:25:00,2024-11-28 09:05:00,2024-11-25,-3,OPEN,2,186,188,L,84.0,164,9046.78,3734.82,0.87,164,ACTIVATED
2563,AW4631,VIE - CDG,2024-11-28 09:00:00,2024-11-28 11:10:00,2024-11-25,-3,CANCELLED,2,186,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10773,AW7641,OSL - CDG,2024-11-28 09:45:00,2024-11-28 13:20:00,2024-11-25,-4,OPEN,2,186,190,H,169.0,173,12619.0,8707.47,0.91,173,ACTIVATED
12904,AW4634,CDG - VIE,2024-11-28 11:55:00,2024-11-28 14:05:00,2024-11-25,-3,OPEN,2,189,194,Q,133.0,185,14385.82,8393.67,0.95,185,ACTIVATED
10988,AW7646,CDG - OSL,2024-11-28 12:20:00,2024-11-28 14:00:00,2024-11-25,-3,OPEN,2,189,191,H,138.0,175,10080.39,4412.14,0.92,175,ACTIVATED
2560,AW3281,TLL - CDG,2024-11-28 13:35:00,2024-11-28 15:35:00,2024-11-25,-3,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
8731,AW3288,CDG - TLL,2024-11-28 14:10:00,2024-11-28 19:50:00,2024-11-25,-3,OPEN,2,186,190,R,108.0,139,13022.08,4853.05,0.73,139,SCHEDULED
10664,AW7647,OSL - CDG,2024-11-28 14:35:00,2024-11-28 18:10:00,2024-11-25,-4,OPEN,2,189,192,H,169.0,172,11866.0,7977.08,0.9,172,ACTIVATED
12612,AW4635,VIE - CDG,2024-11-28 14:50:00,2024-11-28 17:00:00,2024-11-25,-3,OPEN,2,189,192,H,143.0,184,12767.6,9308.4,0.96,184,ACTIVATED
2561,AW7656,CDG - OSL,2024-11-28 15:30:00,2024-11-28 17:10:00,2024-11-25,-3,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10071,AW7648,CDG - OSL,2024-11-28 16:25:00,2024-11-28 18:05:00,2024-11-25,-3,OPEN,2,189,188,L,84.0,165,9804.56,4460.21,0.88,165,ACTIVATED
11435,AW4638,CDG - VIE,2024-11-28 17:05:00,2024-11-28 19:15:00,2024-11-25,-3,OPEN,2,189,191,V,118.0,178,12929.52,7164.1,0.93,178,ACTIVATED
2568,AW7657,OSL - CDG,2024-11-28 17:50:00,2024-11-28 21:25:00,2024-11-25,-4,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10989,AW7649,OSL - CDG,2024-11-28 18:40:00,2024-11-28 22:15:00,2024-11-25,-4,OPEN,2,189,189,V,132.0,175,10481.0,6524.25,0.93,175,ACTIVATED
11576,AW4639,VIE - CDG,2024-11-28 20:00:00,2024-11-28 22:10:00,2024-11-25,-3,OPEN,2,189,189,S,258.0,179,12373.8,9008.6,0.95,179,ACTIVATED
12141,AW3289,TLL - CDG,2024-11-28 20:45:00,2024-11-28 22:45:00,2024-11-25,-3,OPEN,2,186,191,Q,197.0,182,18502.0,14316.0,0.95,182,SCHEDULED
11734,AW4630,CDG - VIE,2024-11-29 06:05:00,2024-11-29 08:15:00,2024-11-25,-4,OPEN,2,189,195,K,103.0,180,13131.17,7300.97,0.92,180,ACTIVATED
8500,AW3280,CDG - TLL,2024-11-29 07:05:00,2024-11-29 12:45:00,2024-11-25,-4,OPEN,2,186,191,R,108.0,133,13111.08,5294.67,0.7,133,SCHEDULED
2569,AW7640,CDG - OSL,2024-11-29 07:20:00,2024-11-29 09:00:00,2024-11-25,-4,CANCELLED,2,186,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
11735,AW4631,VIE - CDG,2024-11-29 09:00:00,2024-11-29 11:10:00,2024-11-25,-4,OPEN,2,189,191,J,284.0,180,14636.6,11252.6,0.94,180,ACTIVATED
2603,AW7641,OSL - CDG,2024-11-29 09:40:00,2024-11-29 13:15:00,2024-11-25,-5,CANCELLED,2,186,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2571,AW4634,CDG - VIE,2024-11-29 11:20:00,2024-11-29 13:30:00,2024-11-25,-4,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10559,AW7644,CDG - OSL,2024-11-29 11:30:00,2024-11-29 13:10:00,2024-11-25,-4,OPEN,2,186,190,K,96.0,171,12021.39,6482.7,0.9,171,ACTIVATED
7993,AW3288,CDG - TLL,2024-11-29 12:20:00,2024-11-29 18:00:00,2024-11-25,-4,OPEN,2,189,194,T,95.0,117,11320.53,4444.44,0.6,117,SCHEDULED
10465,AW7650,CDG - OSL,2024-11-29 13:15:00,2024-11-29 14:55:00,2024-11-25,-4,OPEN,2,189,193,K,96.0,170,10996.78,5490.48,0.88,170,ACTIVATED
9288,AW3281,TLL - CDG,2024-11-29 13:40:00,2024-11-29 15:40:00,2024-11-25,-4,OPEN,2,186,189,K,157.0,152,15345.0,11849.0,0.8,152,SCHEDULED
10146,AW7645,OSL - CDG,2024-11-29 13:50:00,2024-11-29 17:25:00,2024-11-25,-5,OPEN,2,186,188,K,115.0,166,11492.0,7738.74,0.88,166,ACTIVATED
2572,AW4635,VIE - CDG,2024-11-29 14:15:00,2024-11-29 16:25:00,2024-11-25,-4,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2573,AW4636,CDG - VIE,2024-11-29 14:45:00,2024-11-29 16:55:00,2024-11-25,-4,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
11125,AW7651,OSL - CDG,2024-11-29 15:35:00,2024-11-29 19:10:00,2024-11-25,-5,OPEN,2,189,191,M,188.0,176,10957.0,6977.64,0.92,176,ACTIVATED
10297,AW7646,CDG - OSL,2024-11-29 16:10:00,2024-11-29 17:50:00,2024-11-25,-4,OPEN,2,189,194,H,138.0,168,11886.39,6444.87,0.87,168,ACTIVATED
2570,AW7648,CDG - OSL,2024-11-29 16:20:00,2024-11-29 18:00:00,2024-11-25,-4,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2574,AW4637,VIE - CDG,2024-11-29 17:40:00,2024-11-29 19:50:00,2024-11-25,-4,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
11577,AW4638,CDG - VIE,2024-11-29 17:45:00,2024-11-29 19:55:00,2024-11-25,-4,OPEN,2,186,192,M,166.0,179,15401.43,9603.62,0.93,179,ACTIVATED
10466,AW7647,OSL - CDG,2024-11-29 18:30:00,2024-11-29 22:05:00,2024-11-25,-5,OPEN,2,189,191,V,132.0,170,10314.61,6470.91,0.89,170,ACTIVATED
2604,AW7649,OSL - CDG,2024-11-29 18:40:00,2024-11-29 22:15:00,2024-11-25,-5,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10228,AW3289,TLL - CDG,2024-11-29 18:55:00,2024-11-29 20:55:00,2024-11-25,-4,OPEN,2,189,192,K,157.0,167,16546.0,12705.0,0.87,167,SCHEDULED
11271,AW4639,VIE - CDG,2024-11-29 20:40:00,2024-11-29 22:50:00,2024-11-25,-4,OPEN,2,186,188,H,143.0,177,12470.0,9142.4,0.94,177,ACTIVATED
2608,AW4630,CDG - VIE,2024-11-30 06:00:00,2024-11-30 08:10:00,2024-11-25,-5,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
7649,AW4670,CDG - BUD,2024-11-30 06:20:00,2024-11-30 09:25:00,2024-11-25,-5,OPEN,2,186,169,G,46.0,102,4879.0,1575.22,0.6,102,SCHEDULED
2607,AW7640,CDG - OSL,2024-11-30 07:35:00,2024-11-30 09:15:00,2024-11-25,-5,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2605,AW3282,CDG - TLL,2024-11-30 08:10:00,2024-11-30 13:50:00,2024-11-25,-5,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2609,AW4631,VIE - CDG,2024-11-30 08:55:00,2024-11-30 11:05:00,2024-11-25,-5,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10665,AW4634,CDG - VIE,2024-11-30 09:35:00,2024-11-30 11:45:00,2024-11-25,-5,OPEN,2,189,192,K,103.0,172,12236.82,6665.74,0.9,172,ACTIVATED
2661,AW7641,OSL - CDG,2024-11-30 09:55:00,2024-11-30 13:30:00,2024-11-25,-6,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
9737,AW4671,BUD - CDG,2024-11-30 10:10:00,2024-11-30 15:15:00,2024-11-25,-6,OPEN,2,186,166,K,87.0,160,11816.64,10245.44,0.96,160,DEACTIVATED
10002,AW7644,CDG - OSL,2024-11-30 11:35:00,2024-11-30 13:15:00,2024-11-25,-5,OPEN,2,189,187,Q,123.0,164,10343.0,5031.04,0.88,164,ACTIVATED
10298,AW4635,VIE - CDG,2024-11-30 12:30:00,2024-11-30 14:40:00,2024-11-25,-5,OPEN,2,189,191,R,66.0,168,10221.8,7063.4,0.88,168,ACTIVATED
10003,AW7646,CDG - OSL,2024-11-30 12:45:00,2024-11-30 14:25:00,2024-11-25,-5,OPEN,2,189,190,L,84.0,164,9768.0,4456.04,0.86,164,ACTIVATED
8402,AW3280,CDG - TLL,2024-11-30 13:40:00,2024-11-30 19:20:00,2024-11-25,-5,OPEN,2,189,190,R,108.0,130,12359.0,4718.9,0.68,130,SCHEDULED
10073,AW7645,OSL - CDG,2024-11-30 13:55:00,2024-11-30 17:30:00,2024-11-25,-6,OPEN,2,189,188,H,169.0,165,9596.61,5865.96,0.88,165,ACTIVATED
2606,AW3283,TLL - CDG,2024-11-30 14:45:00,2024-11-30 16:45:00,2024-11-25,-5,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10299,AW7647,OSL - CDG,2024-11-30 15:05:00,2024-11-30 18:40:00,2024-11-25,-6,OPEN,2,189,191,K,115.0,168,9838.0,6039.52,0.88,168,ACTIVATED
9347,AW7648,CDG - OSL,2024-11-30 16:20:00,2024-11-30 18:00:00,2024-11-25,-5,OPEN,2,186,187,R,64.0,153,7930.0,2974.33,0.82,153,ACTIVATED
10467,AW4638,CDG - VIE,2024-11-30 17:45:00,2024-11-30 19:55:00,2024-11-25,-5,OPEN,2,189,192,L,91.0,170,8857.17,3350.87,0.89,170,ACTIVATED
10004,AW7649,OSL - CDG,2024-11-30 18:40:00,2024-11-30 22:15:00,2024-11-25,-6,OPEN,2,186,188,V,132.0,164,9374.0,5665.96,0.87,164,ACTIVATED
10072,AW3281,TLL - CDG,2024-11-30 20:15:00,2024-11-30 22:15:00,2024-11-25,-5,OPEN,2,189,194,K,157.0,165,18772.0,14977.0,0.85,165,SCHEDULED
8280,AW4639,VIE - CDG,2024-11-30 20:40:00,2024-11-30 22:50:00,2024-11-25,-5,OPEN,2,189,191,A,39.0,126,5516.6,3147.8,0.66,126,ACTIVATED
9694,AW4630,CDG - VIE,2024-12-01 06:05:00,2024-12-01 08:15:00,2024-11-25,-6,OPEN,2,186,190,G,52.0,159,8613.0,3462.99,0.84,159,ACTIVATED
7560,AW4670,CDG - BUD,2024-12-01 06:45:00,2024-12-01 09:50:00,2024-11-25,-6,OPEN,2,186,187,G,46.0,98,5133.0,1958.78,0.52,98,SCHEDULED
8211,AW3280,CDG - TLL,2024-12-01 07:00:00,2024-12-01 12:40:00,2024-11-25,-6,OPEN,2,189,192,K,153.0,124,12014.6,4727.12,0.65,124,SCHEDULED
2664,AW4634,CDG - VIE,2024-12-01 07:45:00,2024-12-01 09:55:00,2024-11-25,-6,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
9594,AW4631,VIE - CDG,2024-12-01 09:00:00,2024-12-01 11:10:00,2024-11-25,-6,OPEN,2,186,189,R,66.0,157,10223.0,7271.4,0.83,157,ACTIVATED
2662,AW7642,CDG - OSL,2024-12-01 10:35:00,2024-12-01 12:15:00,2024-11-25,-6,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
8696,AW4671,BUD - CDG,2024-12-01 10:35:00,2024-12-01 15:40:00,2024-11-25,-7,OPEN,2,186,188,R,56.0,138,8639.74,7284.58,0.73,138,DEACTIVATED
2665,AW4635,VIE - CDG,2024-12-01 10:40:00,2024-12-01 12:50:00,2024-11-25,-6,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10666,AW4636,CDG - VIE,2024-12-01 11:15:00,2024-12-01 13:25:00,2024-11-25,-6,OPEN,2,189,193,L,91.0,172,13230.13,7659.05,0.89,172,ACTIVATED
10300,AW7646,CDG - OSL,2024-12-01 11:35:00,2024-12-01 13:15:00,2024-11-25,-6,OPEN,2,189,192,Q,123.0,168,11080.0,5638.48,0.88,168,ACTIVATED
2716,AW7643,OSL - CDG,2024-12-01 12:55:00,2024-12-01 16:30:00,2024-11-25,-7,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
2663,AW7644,CDG - OSL,2024-12-01 13:20:00,2024-12-01 15:00:00,2024-11-25,-6,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
11126,AW3281,TLL - CDG,2024-12-01 13:35:00,2024-12-01 15:35:00,2024-11-25,-6,OPEN,2,189,189,V,176.0,176,21026.22,16978.22,0.93,176,SCHEDULED
10875,AW7647,OSL - CDG,2024-12-01 13:55:00,2024-12-01 17:30:00,2024-11-25,-7,OPEN,2,189,193,M,188.0,174,18065.22,14131.08,0.9,174,ACTIVATED
10468,AW4637,VIE - CDG,2024-12-01 14:10:00,2024-12-01 16:20:00,2024-11-25,-6,OPEN,2,189,192,L,87.0,170,12472.4,9276.4,0.89,170,ACTIVATED
8925,AW3288,CDG - TLL,2024-12-01 14:10:00,2024-12-01 19:50:00,2024-11-25,-6,OPEN,2,189,195,L,137.0,144,15157.16,6694.28,0.74,144,SCHEDULED
2717,AW7645,OSL - CDG,2024-12-01 15:40:00,2024-12-01 19:15:00,2024-11-25,-7,CANCELLED,2,189,189,,,0,0.0,0.0,0.0,0,UNAVAILABLE
10372,AW7648,CDG - OSL,2024-12-01 16:20:00,2024-12-01 18:00:00,2024-11-25,-6,OPEN,2,189,192,H,138.0,169,13088.0,7614.09,0.88,169,ACTIVATED
11127,AW4638,CDG - VIE,2024-12-01 16:30:00,2024-12-01 18:40:00,2024-11-25,-6,OPEN,2,189,193,V,118.0,176,15936.52,10235.88,0.91,176,ACTIVATED
10667,AW7649,OSL - CDG,2024-12-01 18:40:00,2024-12-01 22:15:00,2024-11-25,-7,OPEN,2,189,193,M,188.0,172,16373.99,12485.07,0.89,172,ACTIVATED
10774,AW4639,VIE - CDG,2024-12-01 19:25:00,2024-12-01 21:35:00,2024-11-25,-6,OPEN,2,189,191,Q,128.0,173,16228.6,12976.2,0.91,173,ACTIVATED
9799,AW3289,TLL - CDG,2024-12-01 20:45:00,2024-12-01 22:45:00,2024-11-25,-6,OPEN,2,189,192,K,157.0,161,18925.0,15222.0,0.84,161,SCHEDULED
2720,AW4630,CDG - VIE,2024-12-02 06:15:00,2024-12-02 08:25:00,2024-11-25,-7,CANCELLED,2,186,186,,,0,0.0,0.0,0.0,0,UNAVAILABLE
