,SERVICE_NUMBER,ROUTE,DEPARTURE,ARRIVAL,CAPTURE,DAY_X,STATUS,CABIN,CAPACITY,LID,CURRENT_BUCKET,CURRENT_BUCKET_PRICE,BOOKINGS,REVENUE_INCL_TAX,REVENUE_EXCL_TAX,MAXLEG_LF,MAXLEG_BOOKINGS,OPTIM_STATUS
14509,AW7663,OSL - CDG,2023-10-02 05:55:00,2023-10-02 09:25:00,2023-10-04,1,OPEN,2,189,193,S,284.0,189,17749.94,13774.13,0.98,189,DEACTIVATED
13201,AW3121,ATH - CDG,2023-10-02 05:55:00,2023-10-02 10:25:00,2023-10-04,1,OPEN,2,189,193,M,208.0,186,18608.39,15187.85,0.96,186,DEACTIVATED
12615,AW4781,VIE - CDG,2023-10-02 06:15:00,2023-10-02 08:15:00,2023-10-03,1,OPEN,2,189,192,D,279.0,184,17935.38,14553.46,0.96,184,DEACTIVATED
13973,AW3953,ZAG - CDG,2023-10-02 06:30:00,2023-10-02 08:40:00,2023-10-03,1,OPEN,2,189,192,Y,332.0,188,19677.29,13901.84,0.98,188,DEACTIVATED
13974,AW3280,CDG - TLL,2023-10-02 06:40:00,2023-10-02 11:15:00,2023-10-03,1,OPEN,2,189,195,H,251.0,188,25024.24,14395.41,0.96,188,DEACTIVATED
8769,AW7640,CDG - OSL,2023-10-02 07:15:00,2023-10-02 08:55:00,2023-10-03,1,OPEN,2,189,192,X,77.0,140,8970.0,4579.8,0.73,140,DEACTIVATED
11736,AW3550,CDG - HEL,2023-10-02 08:20:00,2023-10-02 12:45:00,2023-10-03,1,OPEN,2,189,190,V,161.0,180,19895.15,14262.33,0.95,180,DEACTIVATED
17110,AW7641,OSL - CDG,2023-10-02 09:35:00,2023-10-02 13:05:00,2023-10-04,1,OPEN,2,189,193,X,74.0,193,20089.75,15985.47,1.0,193,DEACTIVATED
14510,AW4632,CDG - VIE,2023-10-02 10:05:00,2023-10-02 12:15:00,2023-10-03,1,OPEN,2,189,194,Y,377.0,189,21839.86,15930.63,0.97,189,DEACTIVATED
11955,AW7644,CDG - OSL,2023-10-02 11:10:00,2023-10-02 12:50:00,2023-10-03,1,OPEN,2,189,184,I,181.0,181,13778.0,8095.69,0.98,181,DEACTIVATED
17561,AW3281,TLL - CDG,2023-10-02 12:25:00,2023-10-02 15:10:00,2023-10-03,1,OPEN,2,189,195,N,79.0,195,29517.2,25032.2,1.0,195,DEACTIVATED
12373,AW4633,VIE - CDG,2023-10-02 13:00:00,2023-10-02 15:00:00,2023-10-03,1,OPEN,2,189,192,I,209.0,183,18441.76,15078.22,0.95,183,DEACTIVATED
12613,AW3551,HEL - CDG,2023-10-02 13:30:00,2023-10-02 16:10:00,2023-10-03,1,OPEN,2,189,190,Y,417.0,184,33963.31,30398.71,0.97,184,DEACTIVATED
12614,AW7645,OSL - CDG,2023-10-02 13:35:00,2023-10-02 17:05:00,2023-10-04,1,OPEN,2,189,186,J,316.0,184,20526.79,16564.5,0.99,184,DEACTIVATED
13975,AW4634,CDG - VIE,2023-10-02 14:35:00,2023-10-02 16:45:00,2023-10-03,1,OPEN,2,189,194,Y,377.0,188,25016.0,19115.16,0.97,188,DEACTIVATED
9053,AW3558,CDG - HEL,2023-10-02 14:50:00,2023-10-02 19:15:00,2023-10-03,1,CANCELLED,2,189,0,,,147,13704.72,9163.59,,147,UNAVAILABLE
12906,AW3916,CDG - ZAG,2023-10-02 15:00:00,2023-10-02 17:00:00,2023-10-03,1,OPEN,2,189,192,D,209.0,185,16782.29,10990.34,0.96,185,DEACTIVATED
12372,AW3009,ATH - CDG,2023-10-02 15:10:00,2023-10-02 19:40:00,2023-10-04,1,OPEN,2,189,193,B,285.0,183,25473.95,22108.58,0.95,183,DEACTIVATED
10877,AW7648,CDG - OSL,2023-10-02 16:50:00,2023-10-02 18:30:00,2023-10-03,1,OPEN,2,189,192,L,89.0,174,11632.0,6167.18,0.91,174,DEACTIVATED
11274,AW4635,VIE - CDG,2023-10-02 17:30:00,2023-10-02 19:30:00,2023-10-03,1,OPEN,2,189,192,M,188.0,177,14979.38,11744.5,0.92,177,DEACTIVATED
8734,AW7928,CDG - CPH,2023-10-02 17:35:00,2023-10-02 18:30:00,2023-10-03,1,OPEN,2,189,191,K,91.0,139,10804.43,6312.92,0.73,139,DEACTIVATED
11131,AW3917,ZAG - CDG,2023-10-02 17:50:00,2023-10-02 20:00:00,2023-10-03,1,OPEN,2,189,192,J,266.0,176,22286.35,16887.31,0.92,176,DEACTIVATED
9404,AW7908,CDG - BER,2023-10-02 18:15:00,2023-10-02 19:10:00,2023-10-03,1,OPEN,2,189,194,Z,337.0,154,14344.0,9395.21,0.79,154,DEACTIVATED
16107,AW7649,OSL - CDG,2023-10-02 19:10:00,2023-10-02 22:40:00,2023-10-04,1,OPEN,2,189,193,S,284.0,191,26009.76,22065.33,0.99,191,DEACTIVATED
7162,AW7929,CPH - CDG,2023-10-02 19:15:00,2023-10-02 22:15:00,2023-10-04,1,OPEN,2,189,192,N,51.0,68,5137.26,2430.62,0.35,68,DEACTIVATED
7175,AW7909,BER - CDG,2023-10-02 19:50:00,2023-10-02 22:45:00,2023-10-04,1,OPEN,2,189,193,Q,120.0,69,3535.0,2651.68,0.36,69,DEACTIVATED
13550,AW3559,HEL - CDG,2023-10-02 20:00:00,2023-10-02 22:40:00,2023-10-03,1,CANCELLED,2,189,0,,,187,32135.42,28511.17,,187,UNAVAILABLE
17109,AW3952,CDG - ZAG,2023-10-02 20:40:00,2023-10-02 22:40:00,2023-10-03,1,OPEN,2,189,192,K,76.0,193,12724.0,6672.75,1.01,193,DEACTIVATED
9528,AW7662,CDG - OSL,2023-10-02 21:35:00,2023-10-02 23:15:00,2023-10-03,1,OPEN,2,189,192,X,77.0,156,9691.0,4798.92,0.81,156,DEACTIVATED
16108,AW4780,CDG - VIE,2023-10-02 21:40:00,2023-10-02 23:50:00,2023-10-03,1,OPEN,2,189,194,Z,348.0,191,23184.0,17188.87,0.98,191,DEACTIVATED
9289,AW3121,ATH - CDG,2023-10-03 05:55:00,2023-10-03 10:25:00,2023-10-05,1,OPEN,2,189,192,V,146.0,152,14466.0,11670.72,0.79,152,DEACTIVATED
9801,AW4781,VIE - CDG,2023-10-03 06:00:00,2023-10-03 08:00:00,2023-10-04,1,OPEN,2,189,193,Q,150.0,161,12136.0,9176.82,0.83,161,DEACTIVATED
11957,AW4670,CDG - BUD,2023-10-03 06:15:00,2023-10-03 09:20:00,2023-10-04,1,OPEN,2,189,192,D,244.0,181,19824.0,14201.21,0.94,181,DEACTIVATED
17390,AW7663,OSL - CDG,2023-10-03 06:30:00,2023-10-03 10:00:00,2023-10-05,1,OPEN,2,189,194,T,54.0,194,14790.34,10755.98,1.0,194,DEACTIVATED
16657,AW3953,ZAG - CDG,2023-10-03 06:30:00,2023-10-03 08:40:00,2023-10-04,1,OPEN,2,189,192,A,37.0,192,9289.87,3379.03,1.0,192,DEACTIVATED
8883,AW7640,CDG - OSL,2023-10-03 07:20:00,2023-10-03 08:55:00,2023-10-04,1,OPEN,2,189,193,X,77.0,143,8308.0,3815.51,0.74,143,DEACTIVATED
17388,AW7641,OSL - CDG,2023-10-03 09:35:00,2023-10-03 13:05:00,2023-10-05,1,OPEN,2,189,194,N,39.0,194,15450.19,11396.69,1.0,194,DEACTIVATED
11956,AW3288,CDG - TLL,2023-10-03 10:00:00,2023-10-03 14:35:00,2023-10-04,1,OPEN,2,189,194,K,178.0,181,23390.86,13145.64,0.93,181,DEACTIVATED
12146,AW4632,CDG - VIE,2023-10-03 10:05:00,2023-10-03 12:15:00,2023-10-04,1,OPEN,2,189,193,S,292.0,182,15141.29,9421.03,0.94,182,DEACTIVATED
12145,AW3916,CDG - ZAG,2023-10-03 10:40:00,2023-10-03 12:40:00,2023-10-04,1,OPEN,2,189,193,I,143.0,182,15099.77,9413.53,0.94,182,DEACTIVATED
9184,AW7658,CDG - OSL,2023-10-03 11:25:00,2023-10-03 13:05:00,2023-10-04,1,OPEN,2,189,193,R,67.0,150,9718.29,5004.79,0.78,150,DEACTIVATED
9458,AW3558,CDG - HEL,2023-10-03 11:25:00,2023-10-03 15:50:00,2023-10-04,1,OPEN,2,189,192,L,134.0,155,16055.86,11198.59,0.81,155,DEACTIVATED
9595,AW7644,CDG - OSL,2023-10-03 11:50:00,2023-10-03 13:30:00,2023-10-04,1,OPEN,2,189,193,R,67.0,157,10689.54,5755.03,0.81,157,DEACTIVATED
16110,AW4633,VIE - CDG,2023-10-03 13:05:00,2023-10-03 15:05:00,2023-10-04,1,OPEN,2,189,193,H,168.0,191,12425.76,8915.18,0.99,191,DEACTIVATED
11737,AW3917,ZAG - CDG,2023-10-03 13:30:00,2023-10-03 15:40:00,2023-10-04,1,OPEN,2,189,192,B,184.0,180,13672.66,8148.07,0.94,180,DEACTIVATED
15583,AW7659,OSL - CDG,2023-10-03 13:50:00,2023-10-03 17:20:00,2023-10-05,1,OPEN,2,189,194,M,167.0,190,13918.16,9901.06,0.98,190,DEACTIVATED
16109,AW7645,OSL - CDG,2023-10-03 14:15:00,2023-10-03 17:45:00,2023-10-05,1,OPEN,2,189,194,H,148.0,191,13307.56,9323.46,0.98,191,DEACTIVATED
9238,AW7646,CDG - OSL,2023-10-03 14:20:00,2023-10-03 16:00:00,2023-10-04,1,OPEN,2,189,193,T,59.0,151,9073.0,4329.07,0.78,151,DEACTIVATED
11437,AW3289,TLL - CDG,2023-10-03 15:35:00,2023-10-03 18:20:00,2023-10-04,1,OPEN,2,189,194,K,178.0,178,22392.44,18298.44,0.92,178,DEACTIVATED
9529,AW7908,CDG - BER,2023-10-03 16:05:00,2023-10-03 17:00:00,2023-10-04,1,OPEN,2,189,195,Q,128.0,156,10722.15,5705.33,0.8,156,DEACTIVATED
13202,AW3559,HEL - CDG,2023-10-03 16:35:00,2023-10-03 19:15:00,2023-10-04,1,OPEN,2,189,190,J,354.0,186,28322.25,24706.55,0.98,186,DEACTIVATED
17389,AW7647,OSL - CDG,2023-10-03 16:40:00,2023-10-03 20:05:00,2023-10-05,1,OPEN,2,189,194,N,39.0,194,13490.94,9385.92,1.0,194,DEACTIVATED
8699,AW7648,CDG - OSL,2023-10-03 16:45:00,2023-10-03 18:25:00,2023-10-04,1,OPEN,2,189,193,R,67.0,138,8279.86,3942.52,0.72,138,DEACTIVATED
9183,AW3005,ATH - CDG,2023-10-03 17:25:00,2023-10-03 21:55:00,2023-10-05,1,OPEN,2,189,192,Q,166.0,150,15600.0,12859.89,0.78,150,DEACTIVATED
7096,AW7909,BER - CDG,2023-10-03 17:40:00,2023-10-03 20:35:00,2023-10-05,1,OPEN,2,189,193,R,60.0,62,3425.0,2643.12,0.32,62,DEACTIVATED
11738,AW4638,CDG - VIE,2023-10-03 17:45:00,2023-10-03 19:55:00,2023-10-04,1,OPEN,2,178,180,X,85.0,180,14862.0,9216.68,1.0,180,DEACTIVATED
17562,AW7649,OSL - CDG,2023-10-03 19:05:00,2023-10-03 22:35:00,2023-10-05,1,OPEN,2,189,194,N,39.0,195,14831.46,10752.33,1.01,195,DEACTIVATED
11739,AW4639,VIE - CDG,2023-10-03 20:40:00,2023-10-03 22:40:00,2023-10-04,1,OPEN,2,178,180,N,39.0,180,10826.0,7517.6,1.0,180,DEACTIVATED
14511,AW3952,CDG - ZAG,2023-10-03 20:40:00,2023-10-03 22:40:00,2023-10-04,1,OPEN,2,189,193,M,127.0,189,13949.86,8054.09,0.98,189,DEACTIVATED
11438,AW7662,CDG - OSL,2023-10-03 21:25:00,2023-10-03 23:05:00,2023-10-04,1,OPEN,2,189,193,Q,130.0,178,10701.0,5116.46,0.92,178,DEACTIVATED
17111,AW4780,CDG - VIE,2023-10-03 21:40:00,2023-10-03 23:50:00,2023-10-04,1,OPEN,2,189,193,R,72.0,193,13101.43,7037.96,1.0,193,DEACTIVATED
10878,AW3121,ATH - CDG,2023-10-04 05:55:00,2023-10-04 10:25:00,2023-10-06,1,OPEN,2,189,193,L,112.0,174,15044.0,11844.14,0.9,174,DEACTIVATED
15586,AW4781,VIE - CDG,2023-10-04 06:15:00,2023-10-04 08:15:00,2023-10-05,1,OPEN,2,189,193,M,188.0,190,12114.0,8621.8,0.98,190,DEACTIVATED
17114,AW4630,CDG - VIE,2023-10-04 06:20:00,2023-10-04 08:25:00,2023-10-05,1,OPEN,2,189,194,Q,148.0,193,11042.0,4976.01,0.99,193,DEACTIVATED
16658,AW7663,OSL - CDG,2023-10-04 06:30:00,2023-10-04 10:00:00,2023-10-06,1,OPEN,2,189,193,B,234.0,192,17398.08,13344.85,0.99,192,DEACTIVATED
11958,AW3953,ZAG - CDG,2023-10-04 06:30:00,2023-10-04 08:40:00,2023-10-05,1,OPEN,2,189,194,K,76.0,181,9292.66,3725.86,0.93,181,DEACTIVATED
7777,AW7640,CDG - OSL,2023-10-04 07:15:00,2023-10-04 08:55:00,2023-10-05,1,OPEN,2,189,0,N,46.0,108,6677.0,3282.56,,108,DEACTIVATED
10005,AW3550,CDG - HEL,2023-10-04 08:25:00,2023-10-04 12:50:00,2023-10-05,1,OPEN,2,189,191,T,101.0,164,15021.0,9946.9,0.86,164,DEACTIVATED
15585,AW4631,VIE - CDG,2023-10-04 09:10:00,2023-10-04 11:10:00,2023-10-05,1,OPEN,2,189,193,F,232.0,190,14242.14,10749.94,0.98,190,DEACTIVATED
8462,AW7658,CDG - OSL,2023-10-04 09:20:00,2023-10-04 11:00:00,2023-10-05,1,OPEN,2,189,193,T,59.0,132,7168.0,3024.28,0.68,132,DEACTIVATED
17112,AW7641,OSL - CDG,2023-10-04 09:35:00,2023-10-04 13:05:00,2023-10-06,1,CANCELLED,2,189,0,,,193,18017.46,13997.0,,193,UNAVAILABLE
10991,AW3009,ATH - CDG,2023-10-04 09:35:00,2023-10-04 14:05:00,2023-10-06,1,OPEN,2,189,193,Q,166.0,175,20067.0,16848.75,0.91,175,DEACTIVATED
16659,AW4632,CDG - VIE,2023-10-04 10:15:00,2023-10-04 12:25:00,2023-10-05,1,OPEN,2,189,194,B,247.0,192,13451.29,7428.81,0.99,192,DEACTIVATED
17113,AW7659,OSL - CDG,2023-10-04 11:45:00,2023-10-04 15:15:00,2023-10-06,1,OPEN,2,189,193,R,63.0,193,16458.91,12384.51,1.0,193,DEACTIVATED
8658,AW7644,CDG - OSL,2023-10-04 11:50:00,2023-10-04 13:30:00,2023-10-05,1,OPEN,2,189,193,R,67.0,137,8410.43,4140.99,0.71,137,DEACTIVATED
17115,AW4633,VIE - CDG,2023-10-04 13:15:00,2023-10-04 15:15:00,2023-10-05,1,OPEN,2,189,193,T,58.0,193,14742.02,11213.06,1.0,193,DEACTIVATED
11581,AW3551,HEL - CDG,2023-10-04 13:35:00,2023-10-04 16:15:00,2023-10-05,1,OPEN,2,189,190,V,158.0,179,26382.35,22907.4,0.94,179,DEACTIVATED
14513,AW3288,CDG - TLL,2023-10-04 13:45:00,2023-10-04 18:20:00,2023-10-05,1,OPEN,2,189,195,Q,226.0,189,25331.86,14637.83,0.97,189,DEACTIVATED
16111,AW7645,OSL - CDG,2023-10-04 14:10:00,2023-10-04 17:40:00,2023-10-06,1,OPEN,2,189,193,S,284.0,191,16792.74,12709.61,0.99,191,DEACTIVATED
7492,AW3558,CDG - HEL,2023-10-04 14:15:00,2023-10-04 18:40:00,2023-10-05,1,OPEN,2,189,191,G,94.0,93,8560.86,5648.39,0.49,93,DEACTIVATED
9861,AW3910,CDG - ZAG,2023-10-04 15:55:00,2023-10-04 17:55:00,2023-10-05,1,OPEN,2,189,193,Q,98.0,162,12492.72,7415.06,0.84,162,DEACTIVATED
8735,AW7648,CDG - OSL,2023-10-04 16:30:00,2023-10-04 18:10:00,2023-10-05,1,OPEN,2,189,193,R,67.0,139,7902.86,3570.52,0.72,139,DEACTIVATED
8659,AW7646,CDG - OSL,2023-10-04 16:45:00,2023-10-04 18:25:00,2023-10-05,1,OPEN,2,189,193,R,67.0,137,7536.0,3244.09,0.71,137,DEACTIVATED
7721,AW7908,CDG - BER,2023-10-04 17:25:00,2023-10-04 18:20:00,2023-10-05,1,OPEN,2,189,195,V,111.0,106,5782.0,2354.58,0.54,106,DEACTIVATED
8800,AW3003,ATH - CDG,2023-10-04 18:20:00,2023-10-04 22:50:00,2023-10-06,1,OPEN,2,189,193,K,128.0,141,13840.39,11247.4,0.73,141,DEACTIVATED
10006,AW3911,ZAG - CDG,2023-10-04 18:45:00,2023-10-04 20:55:00,2023-10-05,1,OPEN,2,189,194,Q,98.0,164,11405.0,6371.24,0.85,164,DEACTIVATED
15584,AW7649,OSL - CDG,2023-10-04 18:45:00,2023-10-04 22:15:00,2023-10-06,1,OPEN,2,189,193,B,234.0,190,18324.31,14272.18,0.98,190,DEACTIVATED
7893,AW7909,BER - CDG,2023-10-04 19:00:00,2023-10-04 21:55:00,2023-10-06,1,OPEN,2,189,195,V,105.0,113,8670.0,7359.71,0.58,113,DEACTIVATED
12616,AW7647,OSL - CDG,2023-10-04 19:10:00,2023-10-04 22:40:00,2023-10-06,1,OPEN,2,189,193,B,234.0,184,19948.78,16057.39,0.95,184,DEACTIVATED
13977,AW3289,TLL - CDG,2023-10-04 19:15:00,2023-10-04 22:00:00,2023-10-05,1,OPEN,2,189,194,Q,226.0,188,23729.0,19405.0,0.97,188,DEACTIVATED
13976,AW3559,HEL - CDG,2023-10-04 19:25:00,2023-10-04 22:05:00,2023-10-05,1,OPEN,2,189,190,B,277.0,188,26223.25,22579.25,0.99,188,DEACTIVATED
14512,AW3952,CDG - ZAG,2023-10-04 20:40:00,2023-10-04 22:40:00,2023-10-05,1,OPEN,2,189,193,I,143.0,189,10587.0,4655.25,0.98,189,DEACTIVATED
11275,AW4780,CDG - VIE,2023-10-04 21:20:00,2023-10-04 23:30:00,2023-10-05,1,OPEN,2,189,194,F,226.0,177,13106.0,7566.23,0.91,177,DEACTIVATED
10470,AW7662,CDG - OSL,2023-10-04 21:30:00,2023-10-04 23:10:00,2023-10-05,1,OPEN,2,189,193,X,77.0,170,10596.0,5315.67,0.88,170,DEACTIVATED
16113,AW4781,VIE - CDG,2023-10-05 06:00:00,2023-10-05 08:00:00,2023-10-06,1,OPEN,2,189,193,J,331.0,191,20391.0,16880.42,0.99,191,DEACTIVATED
15587,AW7663,OSL - CDG,2023-10-05 06:30:00,2023-10-05 10:00:00,2023-10-07,1,OPEN,2,189,194,D,259.0,190,23137.56,19151.84,0.98,190,DEACTIVATED
12374,AW3953,ZAG - CDG,2023-10-05 06:30:00,2023-10-05 08:40:00,2023-10-06,1,OPEN,2,189,193,V,85.0,183,9701.0,4079.81,0.95,183,DEACTIVATED
11740,AW7640,CDG - OSL,2023-10-05 07:15:00,2023-10-05 08:55:00,2023-10-06,1,OPEN,2,189,192,K,100.0,180,14532.36,8954.34,0.94,180,DEACTIVATED
16112,AW3550,CDG - HEL,2023-10-05 08:05:00,2023-10-05 12:30:00,2023-10-06,1,OPEN,2,189,190,A,77.0,191,21706.15,15792.12,1.01,191,DEACTIVATED
14515,AW7641,OSL - CDG,2023-10-05 09:35:00,2023-10-05 13:05:00,2023-10-07,1,OPEN,2,189,194,B,234.0,189,24397.49,20403.14,0.97,189,DEACTIVATED
13551,AW4632,CDG - VIE,2023-10-05 09:45:00,2023-10-05 11:55:00,2023-10-06,1,OPEN,2,189,193,M,184.0,187,16332.15,10454.74,0.97,187,DEACTIVATED
10879,AW3288,CDG - TLL,2023-10-05 11:40:00,2023-10-05 16:15:00,2023-10-06,1,OPEN,2,189,195,X,138.0,174,22279.12,12473.14,0.89,174,DEACTIVATED
12617,AW7644,CDG - OSL,2023-10-05 11:50:00,2023-10-05 13:30:00,2023-10-06,1,OPEN,2,189,192,V,114.0,184,13780.01,8034.36,0.96,184,DEACTIVATED
12375,AW7658,CDG - OSL,2023-10-05 12:45:00,2023-10-05 14:25:00,2023-10-06,1,OPEN,2,189,192,V,114.0,183,13223.86,7475.95,0.95,183,DEACTIVATED
17118,AW4633,VIE - CDG,2023-10-05 12:45:00,2023-10-05 14:45:00,2023-10-06,1,OPEN,2,189,193,Q,150.0,193,24360.14,20812.8,1.0,193,DEACTIVATED
13203,AW3551,HEL - CDG,2023-10-05 13:15:00,2023-10-05 15:55:00,2023-10-06,1,OPEN,2,189,190,Y,417.0,186,25872.15,22258.45,0.98,186,DEACTIVATED
17117,AW7645,OSL - CDG,2023-10-05 14:15:00,2023-10-05 17:45:00,2023-10-07,1,OPEN,2,189,194,D,259.0,193,17894.66,13779.79,0.99,193,DEACTIVATED
9102,AW3001,ATH - CDG,2023-10-05 14:40:00,2023-10-05 19:10:00,2023-10-07,1,OPEN,2,189,194,Q,166.0,148,15299.95,12615.01,0.76,148,DEACTIVATED
7894,AW7928,CDG - CPH,2023-10-05 14:50:00,2023-10-05 15:45:00,2023-10-06,1,OPEN,2,189,193,G,50.0,113,6834.43,3257.12,0.59,113,DEACTIVATED
16661,AW7659,OSL - CDG,2023-10-05 15:10:00,2023-10-05 18:40:00,2023-10-07,1,OPEN,2,189,194,B,234.0,192,17072.09,13030.51,0.99,192,DEACTIVATED
9802,AW3916,CDG - ZAG,2023-10-05 15:30:00,2023-10-05 17:30:00,2023-10-06,1,OPEN,2,189,189,Q,98.0,161,12834.86,7823.78,0.85,161,DEACTIVATED
9405,AW7929,CPH - CDG,2023-10-05 16:30:00,2023-10-05 19:30:00,2023-10-07,1,OPEN,2,189,192,M,175.0,154,18426.26,12684.63,0.8,154,DEACTIVATED
14516,AW7646,CDG - OSL,2023-10-05 16:50:00,2023-10-05 18:30:00,2023-10-06,1,OPEN,2,189,192,H,145.0,189,15442.86,9517.95,0.98,189,DEACTIVATED
17116,AW3289,TLL - CDG,2023-10-05 17:10:00,2023-10-05 19:55:00,2023-10-06,1,OPEN,2,189,195,H,251.0,193,22322.0,17883.0,0.99,193,DEACTIVATED
